Feature_Index	Peak_Index
77	10216
77	10235
77	10236
77	10257
77	10258
77	10277
77	10297
77	10314
77	10359
77	10376
77	10400
77	10456
77	10498
77	10523
77	10550
78	16183
78	16193
78	16202
78	16212
78	16213
78	16224
78	16225
78	16236
78	16246
78	16247
78	16259
78	16282
79	16248
79	16260
79	16270
79	16283
79	16299
79	16306
79	16312
79	16329
79	16347
79	16362
79	16404
79	16433
79	16477
79	16497
79	16553
79	16656
79	16729
79	16765
79	16785
79	16821
79	16839
80	15243
80	15258
80	15273
80	15291
80	15304
80	15317
80	15333
80	15349
80	15366
80	15380
80	15393
80	15407
80	15421
80	15434
80	15446
80	15447
80	15461
80	15475
80	15476
80	15490
80	15491
80	15506
80	15507
80	15522
80	15523
80	15535
80	15536
80	15545
80	15546
80	15565
80	15566
80	15591
80	15592
80	15616
80	15617
80	15642
80	15643
80	15691
80	15692
80	15715
80	15737
80	15763
80	15806
80	15845
81	4823
81	4848
81	4869
81	4895
81	4918
81	4939
81	4960
81	4980
81	4989
81	5006
81	5028
81	5048
81	5077
81	5106
81	5130
81	5152
81	5177
81	5197
81	5208
81	5219
81	5229
81	5240
81	5251
81	5259
81	5267
81	5276
81	5284
81	5293
81	5303
81	5318
81	5330
81	5340
81	5356
81	5375
81	5390
81	5406
81	5418
81	5428
81	5438
81	5452
81	5486
81	5505
81	5519
82	14784
82	14805
82	14827
82	14850
82	14851
82	14875
82	14899
82	14921
82	14948
82	14973
83	16261
83	16271
83	16284
83	16300
83	16307
83	16313
83	16314
83	16330
83	16331
83	16348
83	16349
83	16363
83	16364
83	16380
83	16381
83	16392
83	16393
83	16405
83	16406
83	16418
83	16419
83	16434
83	16435
83	16444
83	16445
83	16461
83	16462
83	16478
83	16479
83	16498
83	16499
83	16509
83	16510
83	16524
83	16525
83	16538
83	16539
83	16554
83	16555
83	16570
83	16571
83	16584
83	16585
83	16610
83	16611
83	16624
83	16625
83	16641
83	16642
83	16657
83	16658
83	16672
83	16680
83	16681
83	16694
83	16695
83	16709
83	16710
83	16730
83	16731
83	16748
83	16749
83	16766
83	16767
83	16786
83	16804
83	16805
83	16822
83	16840
83	16853
83	16865
83	16880
83	16891
83	16901
83	16911
83	16922
83	16931
83	16942
83	16954
83	16967
83	16981
83	16997
83	17011
83	17023
83	17037
83	17057
83	17096
83	17108
83	17127
83	17142
83	17157
83	17173
84	16823
84	16841
84	16854
84	16855
84	16866
84	16867
84	16881
84	16882
84	16892
84	16893
84	16902
84	16903
84	16912
84	16913
84	16923
84	16924
84	16932
84	16933
84	16943
84	16944
84	16955
84	16956
84	16968
84	16969
84	16982
84	16983
84	16998
84	16999
84	17012
84	17013
84	17024
84	17025
84	17038
84	17039
84	17058
84	17059
84	17078
84	17079
84	17097
84	17098
84	17109
84	17110
84	17128
84	17129
84	17143
84	17144
84	17158
84	17159
84	17174
84	17175
84	17187
84	17188
84	17203
84	17215
85	14386
85	14407
85	14425
85	14426
85	14442
85	14443
85	14459
85	14460
85	14476
85	14491
85	14504
85	14528
85	14538
85	14573
86	21258
86	21259
86	21279
86	21280
86	21299
86	21300
86	21320
86	21321
86	21344
86	21345
86	21365
86	21366
86	21387
86	21388
86	21409
86	21410
86	21431
86	21432
86	21450
86	21451
86	21476
86	21477
86	21498
86	21499
86	21518
86	21519
86	21542
86	21543
86	21567
86	21568
86	21592
86	21593
86	21613
86	21614
86	21632
86	21633
87	20778
87	20805
87	20819
87	20832
87	20849
87	20864
87	20879
87	20896
87	20927
88	19069
88	19087
88	19103
88	19120
88	19141
88	19142
88	19162
88	19163
88	19185
88	19186
88	19207
88	19208
88	19227
88	19228
88	19249
88	19272
88	19295
88	19318
88	19337
88	19355
88	19377
89	17334
89	17348
89	17362
89	17381
89	17390
89	17399
89	17407
89	17415
89	17424
89	17433
89	17443
89	17454
89	17469
89	17486
90	16540
90	16586
90	16626
90	16659
90	16682
90	16711
90	16732
90	16768
90	16787
90	16824
91	18610
91	18624
91	18638
91	18651
91	18662
91	18673
91	18685
91	18686
91	18699
91	18700
91	18712
91	18713
91	18730
91	18731
91	18748
91	18749
91	18768
91	18769
91	18806
91	18807
91	18823
91	18824
91	18837
91	18838
91	18853
91	18869
92	14922
92	14950
92	14974
92	14999
92	15028
92	15029
92	15058
92	15083
92	15100
92	15101
92	15117
92	15133
92	15149
92	15150
92	15165
92	15181
92	15182
92	15196
92	15197
92	15211
92	15212
92	15227
92	15228
92	15244
92	15245
92	15259
92	15274
92	15275
92	15292
92	15305
92	15318
93	13141
93	13159
93	13160
93	13177
93	13178
93	13196
93	13197
93	13217
93	13218
93	13238
93	13239
93	13262
93	13263
93	13283
93	13284
93	13306
93	13307
93	13330
93	13331
93	13354
93	13355
93	13376
93	13377
93	13399
93	13400
93	13421
93	13422
93	13442
93	13443
93	13465
93	13485
93	13503
93	13521
94	17805
94	17819
94	17833
94	17848
94	17849
94	17865
94	17866
94	17881
94	17882
94	17896
94	17897
94	17910
94	17911
94	17924
94	17925
94	17934
94	17935
94	17948
94	17949
94	17959
94	17960
94	17975
94	17976
94	17990
94	17991
94	18004
94	18005
94	18014
94	18015
94	18027
94	18028
94	18041
94	18042
94	18051
94	18052
94	18062
94	18063
94	18072
94	18073
94	18082
94	18083
94	18092
94	18093
94	18102
94	18103
94	18111
94	18112
94	18123
94	18124
94	18136
94	18137
94	18150
94	18151
94	18166
94	18167
94	18180
94	18181
94	18197
94	18198
94	18215
94	18216
94	18235
94	18255
94	18275
94	18295
94	18553
94	18568
94	18595
94	18663
94	18714
94	18732
94	18750
94	18770
95	24381
95	24398
95	24435
95	24436
95	24458
95	24459
95	24475
95	24476
95	24495
95	24496
95	24516
95	24517
95	24541
95	24542
95	24560
95	24561
95	24578
95	24579
95	24597
95	24598
95	24616
95	24617
95	24632
95	24633
95	24650
95	24651
95	24668
95	24669
95	24686
95	24687
95	24710
95	24711
95	24732
95	24733
95	24757
95	24758
95	24776
95	24777
95	24796
95	24797
95	24814
95	24815
95	24830
95	24831
95	24848
95	24849
95	24868
95	24869
95	24887
95	24888
95	24906
95	24907
95	24924
95	24925
95	24943
95	24944
95	24962
95	24963
95	24983
95	24984
95	25007
95	25008
95	25031
95	25032
