scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2874	1	1900	596.352	0.005	595.7034	595.3448	595.3447	0	0	0	0	4673
2875	1	1450	596.3522	0.004	595.7035	595.3449	595.3449	0	0	0	0	4694
2877	1	1480	596.3519	0.006	595.7033	595.3447	595.3446	0	0	0	0	4715
2880	1	1590	596.3524	0.005	595.7038	595.3452	595.3452	0	0	0	0	4735
2883	1	1810	596.3528	0.012	595.7042	595.3456	595.3456	0	0	0	0	4760
2883	1	4960	657.3582	0.004	656.7502	656.3509	656.351	0	0	0	0	4762
2886	1	1780	596.3522	0.007	595.7036	595.345	595.345	0	0	0	0	4783
2886	1	10200	657.3577	0.005	656.7497	656.3504	656.3504	0	0	0	0	4787
2886	2	5760	411.7055	0.009	821.902	821.3964	821.3964	0	0	0	0	4790
2886	1	4070	822.4045	0.006	821.9028	821.3972	821.3972	0	0	0	0	4791
2889	1	1700	596.3526	0.004	595.704	595.3454	595.3453	0	0	0	0	4810
2889	1	17600	657.3578	0.005	656.7498	656.3505	656.3505	0	0	0	0	4814
2889	1	3960	694.3536	0.004	693.7696	693.3463	693.3463	0	0	0	0	4816
2889	2	16600	411.7054	0.011	821.9019	821.3964	821.3963	0	0	0	0	4819
2889	1	9530	822.4046	0.015	821.9029	821.3974	821.3973	0	0	0	0	4820
2889	2	2690	428.7668	0.005	856.039	855.519	855.5191	0	0	0	0	4823
2892	1	24400	657.3577	0.009	656.7497	656.3504	656.3504	0	0	0	0	4841
2892	1	10700	694.3535	0.006	693.7696	693.3463	693.3462	0	0	0	0	4842
2892	2	28400	411.7054	0.011	821.9019	821.3963	821.3963	0	0	0	0	4844
2892	1	15600	822.4044	0.012	821.9027	821.3972	821.3972	0	0	0	0	4845
2892	2	3710	428.7668	0.004	856.039	855.519	855.519	0	0	0	0	4848
2895	1	2400	623.3161	0.005	622.6916	622.3088	622.3088	0	0	0	0	4858
2895	1	26900	657.3576	0.005	656.7496	656.3503	656.3504	0	0	0	0	4860
2895	1	22200	694.3532	0.007	693.7693	693.346	693.3459	0	0	0	0	4862
2895	2	36700	411.7054	0.013	821.9018	821.3962	821.3962	0	0	0	0	4865
2895	1	17200	822.4044	0.018	821.9027	821.3971	821.3971	0	0	0	0	4866
2895	2	5240	428.7667	0.005	856.0388	855.5188	855.5189	0	0	0	0	4869
2898	1	3170	657.3714	0.055	656.7634	656.3641	656.3642	0	0	0	0	4875
2898	1	1440	822.4274	0.023	821.9257	821.4202	821.4201	0	0	0	0	4876
2900	1	7420	623.3161	0.007	622.6916	622.3088	622.3088	0	0	0	0	4883
2900	1	27500	657.3578	0.005	656.7498	656.3505	656.3506	0	0	0	0	4886
2900	1	73300	694.353	0.008	693.7691	693.3458	693.3457	0	0	0	0	4887
2900	2	7670	409.717	0.012	817.9151	817.4195	817.4194	0	0	0	0	4889
2900	1	2490	818.4281	0.011	817.9165	817.4208	817.4208	0	0	0	0	4890
2900	2	24200	411.7055	0.009	821.9021	821.3965	821.3964	0	0	0	0	4891
2900	1	13400	822.4048	0.005	821.9031	821.3975	821.3975	0	0	0	0	4892
2900	2	7370	428.7669	0.034	856.0391	855.5191	855.5192	0	0	0	0	4895
2903	1	7570	623.3162	0.006	622.6917	622.3089	622.3089	0	0	0	0	4907
2903	1	25300	657.3577	0.011	656.7496	656.3504	656.3504	0	0	0	0	4910
2903	1	88200	694.3528	0.008	693.7689	693.3455	693.3455	0	0	0	0	4911
2903	2	11200	409.7169	0.017	817.9149	817.4192	817.4192	0	0	0	0	4912
2903	1	4410	818.4273	0.009	817.9157	817.42	817.42	0	0	0	0	4913
2903	2	17400	411.7055	0.011	821.902	821.3964	821.3964	0	0	0	0	4914
2903	1	7940	822.4044	0.017	821.9027	821.3971	821.3971	0	0	0	0	4915
2903	2	8510	428.7666	0.009	856.0386	855.5186	855.5187	0	0	0	0	4918
2906	1	10300	623.3162	0.007	622.6918	622.309	622.309	0	0	0	0	4929
2906	1	26600	657.3581	0.008	656.7501	656.3508	656.3509	0	0	0	0	4931
